🚀 Starting Excel to PostgreSQL Migration...
✅ Connected to database washdata_db
✅ project0/dataschema/March/washdata_18032023.xlsx: Migrated 18 records
✅ project0/dataschema/March/washdata_19032023.xlsx: Migrated 12 records
✅ project0/dataschema/March/washdata_20032023.xlsx: Migrated 23 records
✅ project0/dataschema/March/washdata_21032023.xlsx: Migrated 8 records
✅ project0/dataschema/March/washdata_22032023.xlsx: Migrated 16 records
✅ project0/dataschema/March/washdata_23032023.xlsx: Migrated 12 records
✅ project0/dataschema/March/washdata_24032023.xlsx: Migrated 15 records
✅ project0/dataschema/March/washdata_25032023.xlsx: Migrated 11 records
✅ project0/dataschema/March/washdata_26032023.xlsx: Migrated 15 records
✅ project0/dataschema/March/washdata_27032023.xlsx: Migrated 10 records
✅ project0/dataschema/March/washdata_28032023.xlsx: Migrated 11 records
✅ project0/dataschema/March/washdata_29032023.xlsx: Migrated 14 records
✅ project0/dataschema/March/washdata_30032023.xlsx: Migrated 13 records
✅ project0/dataschema/March/washdata_31032023.xlsx: Migrated 23 records
✅ project0/dataschema/May/washdata_01052023.xlsx: Migrated 12 records
✅ project0/dataschema/May/washdata_02052023.xlsx: Migrated 18 records
✅ project0/dataschema/May/washdata_03052023.xlsx: Migrated 15 records
✅ project0/dataschema/May/washdata_04052023.xlsx: Migrated 18 records
✅ project0/dataschema/May/washdata_05052023.xlsx: Migrated 16 records
✅ project0/dataschema/May/washdata_06052023.xlsx: Migrated 16 records
✅ project0/dataschema/May/washdata_07052023.xlsx: Migrated 17 records
✅ project0/dataschema/May/washdata_08052023.xlsx: Migrated 22 records
✅ project0/dataschema/May/washdata_09052023.xlsx: Migrated 24 records
✅ project0/dataschema/May/washdata_10052023.xlsx: Migrated 20 records
✅ project0/dataschema/May/washdata_11052023.xlsx: Migrated 15 records
✅ project0/dataschema/May/washdata_12052023.xlsx: Migrated 10 records
✅ project0/dataschema/May/washdata_13052023.xlsx: Migrated 24 records
✅ project0/dataschema/May/washdata_14052023.xlsx: Migrated 9 records
✅ project0/dataschema/May/washdata_15052023.xlsx: Migrated 21 records
✅ project0/dataschema/May/washdata_16052023.xlsx: Migrated 8 records
✅ project0/dataschema/May/washdata_17052023.xlsx: Migrated 16 records
✅ project0/dataschema/May/washdata_18052023.xlsx: Migrated 20 records
✅ project0/dataschema/May/washdata_19052023.xlsx: Migrated 24 records
✅ project0/dataschema/May/washdata_20052023.xlsx: Migrated 20 records
✅ project0/dataschema/May/washdata_21052023.xlsx: Migrated 11 records
✅ project0/dataschema/May/washdata_22052023.xlsx: Migrated 22 records
✅ project0/dataschema/May/washdata_23052023.xlsx: Migrated 15 records
✅ project0/dataschema/May/washdata_24052023.xlsx: Migrated 18 records
✅ project0/dataschema/May/washdata_25052023.xlsx: Migrated 12 records
✅ project0/dataschema/May/washdata_26052023.xlsx: Migrated 8 records
✅ project0/dataschema/May/washdata_27052023.xlsx: Migrated 11 records
✅ project0/dataschema/May/washdata_28052023.xlsx: Migrated 11 records
✅ project0/dataschema/May/washdata_29052023.xlsx: Migrated 12 records
✅ project0/dataschema/May/washdata_30052023.xlsx: Migrated 8 records
✅ project0/dataschema/May/washdata_31052023.xlsx: Migrated 22 records
✅ project0/dataschema/November/washdata_01112023.xlsx: Migrated 21 records
✅ project0/dataschema/November/washdata_02112023.xlsx: Migrated 13 records
✅ project0/dataschema/November/washdata_03112023.xlsx: Migrated 20 records
✅ project0/dataschema/November/washdata_04112023.xlsx: Migrated 11 records
✅ project0/dataschema/November/washdata_05112023.xlsx: Migrated 14 records
✅ project0/dataschema/November/washdata_06112023.xlsx: Migrated 22 records
✅ project0/dataschema/November/washdata_07112023.xlsx: Migrated 19 records
✅ project0/dataschema/November/washdata_08112023.xlsx: Migrated 18 records
✅ project0/dataschema/November/washdata_09112023.xlsx: Migrated 23 records
